epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1101.98,0.69002,1.45499,0.9118,0.89467,0.89304,0.96397,0.77513,0.65128,1.22571,0.89217,0.000553082,0.000553082,0.000553082
2,2628.09,0.69374,0.84336,0.92227,0.97351,0.92749,0.98352,0.80923,0.64487,0.71181,0.91753,0.0010868,0.0010868,0.0010868
3,4099.55,0.70185,0.65498,0.9331,0.96531,0.94417,0.97596,0.79914,0.64909,0.61543,0.93063,0.0015985,0.0015985,0.0015985
4,5602.44,0.68237,0.5642,0.92621,0.98031,0.95469,0.98712,0.8143,0.64117,0.51939,0.94142,0.00156798,0.00156798,0.00156798
5,6628.06,0.66296,0.52173,0.9243,0.98259,0.96033,0.98838,0.84427,0.57423,0.42746,0.89954,0.00153497,0.00153497,0.00153497
6,7370.27,0.64056,0.48544,0.915,0.97416,0.96413,0.98484,0.82146,0.59583,0.44394,0.91315,0.00150197,0.00150197,0.00150197
